Comments,Type
"the const makes a constant reference to a variable, not a constant varialbe! a lot of people don&#39;t know that difference! we declare objects and arrays as constant variables, but we can push and pop items in arrays. we can manipulate an array, but we can&#39;t do this: const array = [1,2,3,4]; array = [4,5,6]; we can&#39;t initialize the array again. the const, as well as let variables have a block scope!",1.0
thank you so much sir....it helped me a lot...,1.0
i was searching for a channel like this which gives service at free of cost. finally i&#39;ve got.  i want to be a successful web developer and i wish i could...inshaa-allah. take  from core of my heart.from bangladesh...,1.0
you people are doing great work......,1.0
the only video where i could learn with interest and not getting bored at all thanks a lot @edureka,1.0
thank you so much edureka for giving free session on youtube  for most  useful programming language yours explination is very talented  and understanding,1.0
"great job,bro it&#39;s useful for more students and do videos for software testing and selenium please",1.0
thank you so very much this tutorial is excellent. please how can i get certification from you or your organisation.,1.0
thank you  you helped me a lot! ,1.0
hats off to every single person behind this .what a great world we living in today ! .  thank you so much for all your efforts .,1.0
"highly respected sir,  i personally appreciate you for the awesome job you&#39;re doing.  according to me, you have the best explanation i have ever come across on youtube. god bless you!",1.0
"omg!!! i thank you and am blessed to have found your channel.  i promised myself to stop being afraid of the computer and to make the effort to learn how it works so that i can confidently be at ease with it, instead of all the anxiety.  this is the most patience and worthy series i have come across.  thank you sir.",1.0
"very well explanation. just a little correction. linux represents a wide variety of oss based on the open source linux kernel. so, i think would be good showing just linux and then telling about its different flavors/distributions like ubuntu &amp; debian. ",0.0
"from a non-technical standpoint, i thought this was so easy to understand. can&#39;t wait to see what i know at the end of the lecture series ",1.0
timestamp0:30 an overview of os 2:09 what operating system do 12:17 functions of os14:00 goals of os,1.0
"my lecturer uploaded this video as a reference source before starting the session.so nicely , clearly and well explained in a simple manner.much helpful",1.0
"tbh, i&#39;m taking os recently as undergrad and i can&#39;t explain how immense this tutorial has been to me. thanks guy",1.0
it is a great pleasure to find neso academy lecture on os. i can&#39;t thank you more for such a great works respects ,1.0
"videos are really good &amp; explanatory, can you please make videos on :1) batch processing2) time sharing3) real time sharingvideo should include definition, comparison &amp; advantages, disadvantages of these there ",1.0
i love that you made us see why the os is necessary instead of just telling us what it does.,1.0
"very nice and lucid explanation. though i am from finance profession, but have passion in learning concepts of cs ",1.0
"thanks sir! i was looking for a place to get introductions to computer architecture, and this seems to be good place to start. ill go through all your lessons. thank you!",1.0
thank you sir .i&#39;m a freshman software engineering student and you explained it way better than my computer science teacher..,1.0
i&#39;ve never seen this type of explanation sir !your way of explaination is much better than anyone ,1.0
"no words to say instead of thank you , u guys are put lot of efforts to teach every topic in ur channel. i really appreciate. u r developing not ur channel , developing many software engineers....",1.0
your thoughtfulness is a gift i will always treasure. you&#39;re the best lecturer i&#39;ve ever seen .,1.0
"sir, thank you for a brief and   the best explanation i have heard on youtube. more power to neso academy",1.0
the os series helped me alot to get good marks in my semester exam. thank you neso academy!!!!!,1.0
great content really helpful. you are helping me learn so much about operating systems because i have just took this course in my university. can&#39;t get any better teacher. please expand this series and take this from just introduction to more intermediate stuff. i would like that and watch it. also will promote your videos in my class discord they need to see them.,1.0
"are you going to publish more videos on operating systems in the near future? will you fully cover the topic of oses? can you make videos for microprocessors(preferably, arm architecture)?  thanks.",1.0
bestest platform and bestest explanation sir.... hatsoff to all teachers of neso academy..... best channel for knowledge and concept clearance and problem solvings....,1.0
i am so lucky that i found your lectures. thank you for providing such great lectures,1.0
"compiler is not used to write the  code, it converts high-level-language (the code which we write) into low-level-language(machine language) for machine to understand the sets of instruction to be performed.",0.0
thanks for sharing this video! i feel every non-engineer who aspires to be a software engineer must learn this. i myself am mentoring people to learn these concepts even though they want to be a full stack developer because i see the importance of this!,1.0
ill be watching the entire series. absolutely fantastic,1.0
i am so lucky that i found your lectures. thank you for providing such great lectures on os,1.0
sir your content is really good.please complete the series before the semester i.e before may,1.0
"thank you sir, it was an easy  yet affective elaboration of what actually an operating system is, what is it necessary for computer to function, what is its importance at user end,  what are its goals and what are most common operating systems. pictorial representation was clear and easy. most important, vocabulary and accent is listener friendly.",1.0
just amazing! your every single word is very clear and teaching method is better than that of my boring teachers.,1.0
thank you sir. you are a wonderful teacher. i will request you to please complete c++  playlist.,1.0
"thank you, sir....this lecture of yours really helped me to understand the os  so easily.",1.0
great and simple explanation. the way the information is presented is very memorable. thanks!,1.0
sir please complete the series !!!your videos are very useful,1.0
"an operating system (os) is a program that manages the computer hardware. it also provides a basis for application programs and acts as an intermediary between computer users and computer hardware._x000D__x000D_types of os: _x000D_- batch os _x000D_- time-sharing os _x000D_- distributed os _x000D_- network os _x000D_- real-time os _x000D_- multi programming/ processing/ tasking os_x000D__x000D_goals of os: _x000D_i) convenience _x000D_ii) efficiency _x000D_iii) both_x000D__x000D_functions of os: _x000D_- it is an interface between user &amp; hardware _x000D_- allocation of resources _x000D_- management of memory, security, etc.",1.0
i&#39;m in 4th sem and first thing i searched was neso academy bcz i wanted to see how many subjects of 4th sem is available on this channel this is the best tutorial  channel and the way  u represent is just perfect,1.0
"i was learning operating system and graphical user interface, this was extremely helpful.",1.0
very nice explained ..sir can u create a series of computer architecture...plzzz,1.0
nice explanation on each topic please cover the syllabubs as possible. i thanks your academy and brilliant instructor for your contributions.,1.0
your explanation/lecture is better than my lecturer. thank you sir!,1.0
this is amazing! a simple and clear explanation,1.0
you explained it way better than my computer science teacherno words to say instead of thank you,1.0
"what is the difference between an os and a driver?? both are intermediaries and both are software used to manage hardware. is the driver just for specific devices compared to os?? if you have a clear explanation to differentiate both, i would appreciate it!",0.0
"it is very easy to understand to students but it is much more easy to remember if we have pdf notes so that,we can revise whenever we want. thanks a lot for this videos which makes easy for our study.",1.0
thanks for this amazing content. it seems first my teacher watches these videos and then teaches us because both are similar. but obviously the way you explain it is great...,1.0
great explainationwill this course cover all the topics of os that are being aksed in gate exam?,1.0
awesome videoeasy to understand for beginners thank you so much for providing such important knowledge.,1.0
"for every cse/ec/it students , neso academy is there for them !",1.0
sir your videos are very helpful for me ...and also for all...thanks for that...sir can you make videos about..dbms....if possible then ... inform us ...sir ... thanks....for ur effort..,1.0
great explanation sir...simply awesome...i felt it&#39;s one the best thing that i ve done in this corona holidays...,1.0
"thank you so much for this videos, i just love them. i watched so many youtube videos and courses, but the way you explain is unique. keep going! :)",1.0
"love you neso academy. thank you so much for making awesome video tutorials. it&#39;s helped me a lot. now i can understand easily, better than my institute.",1.0
sir compiler are not used for writing codes..its a language processor which conversts hll source program into lll or machine language and finds the errors symentic syntax error,0.0
"sir your language is simple that&#39;s very helpful to all students... you are one the best man for all students, it simply means you are best",1.0
please sir please....explain the whole syllabus by uploading videos...its 200% very useful for the students,1.0
thank you sir for making videos in this topic..i have the topic in my current semester.. pls make videos regularly. it will really very helpful,1.0
"thank you for this lecture, you have such a good teaching skill. very grateful for this :)",1.0
clear and neat explanation with examples...thank you sir...,1.0
"cool course, love it! where can i find details about each course and it&#39;s lectures? i&#39;m an ee student so i use the lectures to understand the metrial better , but in youtube app it&#39;s all get confused , wich lectures belong to wich course?? aside from that , thanks!",1.0
so so so very much clear and explained every bit of thing  hats off sir. ,1.0
"sir , i completed the course today .. n want to thank you .. it was very helpful .",1.0
"thank you, this is a promising start of these series. can&#39;t wait to watch everything.",1.0
"sir, these videos are really helpful..but pls upload all the videos in this series",1.0
i don&#39;t know what i have to describe you and your explanation. just amazing!!,1.0
bunch of thanks for excellent explanation,1.0
thanks for making understand in such a simplest way,1.0
oh my god you are such a great lecturer and i am a student and i need your lecture and every topic is so clean and clear and your voice is so clean and you  are doing a great job thank you so much hats off to you sir,1.0
for all those who are watching this you&#39;ll definitely learn more than your teacher has ever taught!!....,1.0
thank you so much for these videos sir! are you referring to the book by galvin? please reply.,1.0
"easy to follow and really solved my laptop&#39;s problem , thanksss!!",1.0
really fantastic. i have seen all the 55 video lecturer on os.i just wanted to say please release the remaining  topics as soon as possible,1.0
great effort its really easy to understand.,1.0
it really helped that you showed why we actually need operating system,1.0
thank you so so much. you are the best teacher in this world ,1.0
thanks very much. brilliantly explained in short span of time. i greatly appreciate it.,1.0
"os =neso academy!... os is almost like a soul of a computer, similarly neso academy tutorials are same for students in making complex topics easy !",1.0
this is more than wonderful well done neso academy,1.0
thanks for the videos related to computer science... please make videos on software engineering subject also.....i just got good marks by watching toc videos on your channel...please,1.0
amazing introduction .so much depth that i have recieved.,1.0
please complete the series sir. we&#39;re depending upon your videos.,1.0
"this is what i&#39;ve been searching for; thank you, sir.",1.0
thank you so much for the videos  but plz provide the deadlock chapter asap.you guys are doing a great job . plz upload the deadlock chapter .,1.0
my doubts are cleared regarding osthank u so much sir,1.0
it&#39;s simply amazing...  easy to understand thanks bro,1.0
great content. easy to follow and understand... thank you!,1.0
economically weaker students are depending upon this beautiful channel ,1.0
"pls upload lectures on process scheduling, gantt chart, threads, synchronisation, deadlock, etc. pls",1.0
thanku sir..  i was so confused.. but now the things are getting clear to me,1.0
after searching a lot got something which is useful. thanks for uploading . really appreciate your work,1.0
"i&#39;d just like to interject for a moment. what you&#39;re referring to as linux, is in fact, gnu/linux, or as i&#39;ve recently taken to calling it, gnu plus linux. linux is not an operating system unto itself, but rather another free component of a fully functioning gnu system made useful by the gnu corelibs, shell utilities and vital system components comprising a full os as defined by posix._x000D__x000D_many computer users run a modified version of the gnu system every day, without realizing it. through a peculiar turn of events, the version of gnu which is widely used today is often called &quot;linux&quot;, and many of its users are not aware that it is basically the gnu system, developed by the gnu project._x000D__x000D_there really is a linux, and these people are using it, but it is just a part of the system they use. linux is the kernel: the program in the system that allocates the machine&#39;s resources to the other programs that you run. the kernel is an essential part of an operating system, but useless by itself; it can only function in the context of a complete operating system. linux is normally used in combination with the gnu operating system: the whole system is basically gnu with linux added, or gnu/linux. all the so-called &quot;linux&quot; distributions are really distributions of gnu/linux.",0.0
very good lectures..i need pdfs of these lectures can i get that???,1.0
thank you neso academy. you helped me pass my os class.,1.0
this is for the first time i am leaving a comment on any youtube video... this course is amazing!!.. operating system was boring to me but now u made it interesting!!..&lt;3,1.0
great explanation ,1.0
"absolutely great work,,,thanks from my heart.the world is so great because of like you great people.",1.0
yessiree! very clear indeed! superb! keep up the great work and sincerity!,1.0
the introduction is very clear and it is useful. thank u,1.0
"i&#39;m depending on you. can you please complete the series, sir? thanks for your efforts.",1.0
thank you so much......such a hard work....applause!!!,1.0
very good . could understand easily ,1.0
sir thank you so much for creating playlist in a sequence tomorrow i have an exam. keep doing more n more videos god bless u,1.0
good evening sir...u explained in excellent way....one request to u sir..kindly upload the videos of probability and random process engineering maths according the syllabus.it will be more helpful for the students..it&#39;s quite difficult fir us..thanking you sir,1.0
"for those who are facing the audio problem, -> windows settings> ease of access> audio, and on the right panel just toggle ""turn mono audio"" to ""on"".",1.0
"thank you sir , for your clear teaching of concepts before going into the depth, it is useful. your is always useful, concise, precise.",1.0
thank you sir for your struggles and a big help for us hats off to you sir ,1.0
sir please make videos on monte-carlo simulation and generation of random observation . your videos are always inspirational and helpfull .thank you very much sir.,1.0
"thanks prof, is there any way you can put an english subtitle for wider audience?.  you are a great prof, please use lingua franca that we can all understand. thanks again",1.0
"thanks  a lot  siryour  videos  are  so  helpful  and  useful  during  my  university  , i can&#39;t   understand  in   online  lecture  and i  don&#39;t   attend  it   but  i  see  your  all videos  to  study  and  i pass  with good marks  in my sem 3 university  exam which is offline  its  because  your  youtube  channel  and  your  extraaudinary  teaching  .thanks a lot  for  making  this videos and  giving  precious  time  us.-thanks  a lot  -god  bless   you  ..sir-i don&#39;t  have words  to  express  thankfullness  to  you your  youtube  channel  is  an  individual  university.thanks  a lot  for helping  us",1.0
"sir , i enjoy watching your lectures and learning new things from it as well,",1.0
"sir the way u teach concepts are really amazingthank you so much for explaining these topics,these are very useful for me",1.0
thanks a lot sir for providing us with these beautiful lecture for free ,1.0
very very nice video  . thanks you so much sir please provide us some notes in pdf ,1.0
sir is this playlist suitable for economics honours students?,1.0
sir you are doing such a great job,1.0
"sir, if you don&#39;t mind can you please make a video about hypothesis testing.",1.0
thank u sir for these amazing content.,1.0
"can you please write the steps of the sloutionfor example: analyze > descriptive statistics >explore question no 1:the data given below represents the scores of 10 students in a final examination. create spss data file and for variable scores use visual binning and recode into different variable to create classes for the data giving code ""i"" to scores between 75 - 100, code 2 to scores between 61 - 75, code 3 to scores between 41 - 60 and code 4 to scores between 0 - 40. find the frequency tables for newvariables. (save your input and output file).final examination scores of 10 studentssr no.             scores1                       582                       863.                      744                       605                       356                       707                       698                       559                       4210                     37",1.0
"thank you so much, sir, for making our maths very easy ..... and also i recommend all you guys to see all the videos you which you need because trust me guys, nobody in this youtube who is better then gajendra sir . thank you, sir.",1.0
"does this playlist covers topic like random variable, standard deviation, discrete uniform distribution....etc",1.0
hello sir. your videos are great and your teaching style is amazing.,1.0
sir can we use this playlist for probability and statics from nptel,1.0
sir you are really awesome.i am thinking my fear on this subject gonna clear soon if i watch your lectures series.,1.0
thnkuu sir...ur lectures helped me. a lot to get good marks in my reappears....my all reappers are cleared just bcz of ur lectures....i am now studying ur probability and statistic lecture...i am sure again ur lectures will help me lot to get good marks....thnks a lot sir....u explain evrything very clearly.,1.0
thank you sir...your classes helped me so much,1.0
well taught.10/10,1.0
"sir, can you pls start a class on stochastic process ?",1.0
great overview of what&#39;s coming next!!!!,1.0
excellent explanation sir,1.0
well explained ,1.0
great teacher,1.0
is this playlist enough for data science statistics part sir?,1.0
"hello sir ,your video lecture is very helpful,and help me alot but we need your cooperation more ,plz help ,i have few topic which i need to complete ..as i am writing bpsc main with maths as optional.probability and statistics topic need elaborative exolation..plz help sir",1.0
you are the savior sir ,1.0
sir - i m preparing for indian statistical services - i want to get videos on most of the chapters contains in  fundamental of mathematical statistics written by s.c.gupta and v.k.kapoor - is it possible ? if so pls guide how can i get the access - thanks alot.,1.0
thank u sir for ur effort,1.0
small powernap taken by my right ear by the way great video sir thank you,1.0
sir thanks for this material i really need this you   explain   very well,1.0
"this is also useful for gate mathematics, right?",1.0
"windows settings> ease of access> audio , and on the right panel just toggle ""turn mono audio"" to ""on"".",1.0
my left ear liked the video,1.0
thankyou sir your are like candle  at this time. so so thanks to you sir ,1.0
"sir please make video on orthogonal polynomials-lagrange&#39;s, chebysev polynomials ;trigonometric polynomials:wavelet transform:properties method, inverse and their applications",1.0
sir make a video on some important formulas used frequently from calculus....,1.0
thank you sir i needed this for mhtcet,1.0
"hello sirplease help me in this ,i have  advanced higher mathematics which includes following topics. can u please sugggest some booksmodule ii: intermediate probability: 
manipulating rvs conditioning rvs conditional distribution of a rv computing probabilities and expectations by conditioning it application: time-to-a-pattern for password security inequalities and limits of events, rvs, distributions inequalities: markov, chebyshev, jensen, holder. convergence of rvs: weak and strong laws, central limit theorem, distributions of extreme marketing application: multinomial choice model classifying and ordering rvs increasing failure rate and polya densities sochastic order, hazard rate order, likelihood ratio order, convex order marketing applications: concavity of prots
 module iii: stochastic processes: indexing rvs 
markov chains markovian property and transition probabilities irreducibility and steady-state probabilities generic applications: hidden markov chains : exponential distribution and poisson process construction of poisson process from exponential distribution thinning and conditional arrival times service applications: waiting times, normal distribution and brownian process construction of brownian process from normal distribution hitting times and maximum values finance applications: option pricing and arbitrage theorem
i will be very thankful",1.0
"hello sir, i am student of iitr...aapki teaching methodology badiya h...aaapka padaya hua aapox. sabkuch samajh me aata h...thank you so much sir",1.0
sir in topics pr bhi video bana dein:1)relative frequency2)axiomatic definition 3) laws of probabilitythankyou,1.0
thanku sir really helpful ,1.0
thanku very very much sir........i m b.sc student.....plz make a lecture everyday on this..plx,1.0
"sir, please make videos on z-test, t-test,chi-square",1.0
sir aapka teaching method bahut accha hai  aap aise hi karte raho or muskuaarte raho ,1.0
"my subject name is probability and queuing theory, so is it the same thing?",1.0
sir are these videos enough for msc statistics entrance exam?,1.0
"plz slove.. find the probability density function f(x)for the  position of a particle executing shm on (-a,a) along the x -axis .",1.0
sir great thing for students .thank you sir,1.0
thank you so much sir love you aapka content meri boht help krta h meri last time naiya paar lga deta h aap hmare shrvan ho ,1.0
50-60 should be written in the x axis!,1.0
"sir , is there probability notes available",1.0
"sir aap bhut acha padate ho sir, really ur videos helps me a lot.... sir, thanks so much",1.0
sir have you covered advance probability and statics???sir pls give reply your reply help me a lot,1.0
thnks sir mai bhauth paresan tha kaise mathmatics cover ho ga.thank you so much sir.teaching methodology and realistic approch incredible sir.,1.0
what book should i buy to have  percent knowledge of statistics and probability !!!,1.0
can u guide for stat and probability for mca 1st year?,1.0
"why do i feel like he was throwing cannon balls on me, so fast man",1.0
very helpful videos sir. thank you,1.0
"please upload the lecture on sample space , multiplication and addition theorem and event concepts.",1.0
sir it will be so greatfull if u make this video on english i am from manipur and some of us are not handy in hindi i meant its hard to undertand cause of hindibut thank u,1.0
sir will statics be a better option with mathematics..i mean if i take this with maths .then i have to not face so problem with maths ...i knew that statics is very similar to that of maths ..sir please advice me ..as soon as..thanku .,1.0
useful vedio... thanku sir,1.0
thank you soo much sir for this video!,1.0
sir i and my friends have faced a lot of problem in your audio as the sound only comes in a single earphone almost in all of your videosplease try to fix this issue,1.0
sir please make video on conditional probability and sampling theorems,1.0
"it&#39;s video are very very profitable for me , please help all times & thanks dear sir ",1.0
sir could u prefer a book for p&s b.sc.1st year in english,1.0
english subtitles pls  it would help me a lot,1.0
helpfull ,1.0
sir make videos on other topic in probability for bsc 3rd year student... and sir thank you for making video on this topic...  mujhe bohot for lagta hai probability se.... ,1.0
i loved it,1.0
sir plz upload important videos on statistics and probability,1.0
thank you ,1.0
thankyou sir,1.0
is this video is useful for data science and mldl study?please reply,1.0
sir plz upload more videos on statistics and probability,1.0
sir please make video on application of partial differential equations plz sir ,1.0
thankyou sir,1.0
sir negative binomial distribution or hypergeometric distribution  lectures delivered kindly...,1.0
thanku sir ,1.0
sir i am following ur videos... will this vidoes be useful for nielit scientific technical assistant a exam.?,1.0
"sir, please don&#39;t make separate playlists for every topic within a chapter. it leads to a lot of confusion. rather make playlists chapter wise not topic wise .",1.0
great explanation sir,1.0
tq sir for valuable explanation,1.0
"sir, please upload lecture on test of hypothesis and chi square test",1.0
wow! sir thank you for well explained from balochistan ,1.0
sir can you please suggest any bsc text for statistics and probability,1.0
thank you sir ,1.0
sir i am having lot of difficulty to understand probability and statistics,1.0
thank you  sir,1.0
sir plzz make a playlist for trigonometry bsc,1.0
thank you sir ,1.0
thank u so much sir means a lot,1.0
"thank you so much sir, i am doing phd in economics and in my university no one taught us clearly any thing about research methodology. i was confused about research methodology and the whole process of research but after listening your lecture, i understand at least the some basics about research and it is boosting my level of confidence. once again thanks a lot from india.",
i didn&#39;t see teaching as clear as of yours i am doing my mba which is close to end and i am on the threshold of writing my dissertation. your teaching of research methodology is really outstanding.,1.0
"your lectures are awesome and vey useful and your teaching methods too. i really appreciate the efforts you are putting. much much appreciated, regards",1.0
i have been struggling to understand research methodology. finally i feel that my struggle is coming to end tat too on the day i have almost broken down. thank you very much for simplying and explaining so clearly.,1.0
thank you very much sir for making this very informative lecture which is very useful for beginners as well as those who already done their research work.,1.0
i thank you very much from the bottom of my heart for your nice presentation that you did to the world on about research methodology.,1.0
"this is great for me, just starting my m.phil studies. i will follow your teaches on the all research methods and methodologies. thanks a lot.",1.0
"very precise and clear i got the whole understanding after watching it, and i hope all new students could get the benefit",1.0
thank you so much sir.  i&#39;m watching from uganda. this is just amazing. god bless you for this free information you&#39;ve given us.,1.0
thank you for clear  explanation about introduction for research  methodology.  i&#39;m  a  maintenance engineer and starting to formulate my research.  basically my field  of interest is about plant reliability and  maintenance improvement.  i&#39;m focus  how to  optimize the current maintenance practice by  applying different maintenance strategies.  once for all thank dr. qureshi for  this lecture and i&#39;m  going to explore the video. thank you very much,1.0
it is a great lecture to understand the terminologies and concept of research methodology . the lecture is concise and easily understandable.,1.0
thank you so much sir. very conceptual and precise understanding about the research methodology. it will definitely helpful to the aspirants.,1.0
"this speech has revised all my masters class of research, great explanation sir,i am going to do my phd,this presentation is very useful to me.thank u sir",1.0
"thank you so much sir, this help a lot, to understand the basic. without understanding this i am so confused about the different of method / methodology and thought both same. your explanation is very clear and on point. keep up the good spirit and stay healthy",1.0
thank you dr. muhammad qureshi for explaining so well and making it so simple to uderstand,1.0
thank you sir.......very effective lecture for the students who wants to learn research methodology......,1.0
"relevant, precise and informative. thank you  very much for your  excellent  presentation of the topic in a simplified  manner",1.0
"thanks for the comprehensive lecture on research methodology, no doubt and no question",1.0
thank you very much sir for creating this video it is very helpful in understanding the topic of research.,1.0
thank you sir for your freely contributed to our understanding research methodology concept,1.0
thank you doc. very clear and helpful information,1.0
great delivery... thank you for explaining the topic in a very simple manner,1.0
wonderful lecture on research methodology. thank you for sharing your knowledge.,1.0
"thank you, sir. the lecture is very informative and explained in very lucid language taking good daily life references",1.0
very nice sir.it is the best way to present topic.it is  very valuable to the research scholars and knowledge seekers.thank you so much sir.,1.0
excellent presentation. the time spent in listening is fruitful.,1.0
"thank you, sir. you explained in crystal clear ways about introduction for research  methodology.",1.0
you way of explaining the research basics is very lucid. it makes it easy to comprehend.,1.0
thanks very much for your erudite and scholarly presentation. we hope to enjoy the subsequent classes by god&#39;s grace. more grease to your elbows sir.,1.0
"salaam dear_x000D_ respected professor, _x000D__x000D__x000D_thank you so_x000D_ much for providing outstanding lecture on research methodology. respected professor,you informed us about research. could you please tell us about some reliable_x000D_and standard journals to publish our research papers? there are many fake_x000D_journals that demotivated us from publishing. name high journals with high_x000D_impact factor in the area of education, language and social sciences. once_x000D_again thank you so much. _x000D__x000D__x000D_sincerely,",1.0
very informative and convincing for beginners.thank u sir.,1.0
thank you so much sir for making this very informative and useful lecture.,1.0
"its shall b well with you sir im a 300l student but actually was taught but i really dont understand, but you explaining im so grateful sir ",1.0
this lecture is fantastic. thank you.,1.0
i finished my undergraduate degree without understanding this basics but i have was scared of joining masters without understanding this thanks so much doctor.... from uganda,1.0
thank you sir. you have explained the topic very nicely.,1.0
"excellent information sir, nicely explained sir",1.0
"thank you very much for this insightful lecture, sir. very useful.",1.0
"thank you sir .really , it is very useful lecture",1.0
awesome tone and decent method of explanation. stay blessed ,1.0
"thank you so much sir, it help me for further understanding.",1.0
thanks for this lecture. i am doing masters in management studies monitoring and evaluation option. this is going to help me grately.,1.0
i found it very simple and understanding research nicely...thank u .,1.0
thank you sir. it is informative and helpful lecture. presentation is good sir.,1.0
thank you. it is really informative to all the researchers.,1.0
"tnx for your best lecture would you mind if you show as how a research process can perform in irrigation engineering and management field of study, please!",1.0
"assalamu alaykum,excellent series and also a very good presentation dr. qureshidr. i have some worries,my research question is, &quot;the paradox of boko haram in nigeria: adopting a new strategic framework for resolving insecurity&quot;based on the above question my supervisor asked me to use thematic analysis/review using qualitative method. what would i do and how can i come up with the review?, how can i structure and/or arrange my thesis?, how can i divide my themes base on my research topic? does this research require theoretical framework?. more so, i wanted to literature review and methodology in chapter one. is it going to help me that way or how can i do it?thank you and stay blessed and healthy",1.0
very clear and simple!!! thank you,1.0
"very usefull lecture in research  , thank you very much",1.0
thank you sir. i am nursing student and preparing  for reseach module exam. really helpful,1.0
great session; can you help me find the remaining series / episodes?,1.0
thank you sir for a very comprehensive presentation about research methodology! i really enjoy and learned from your presentation. wantching from philippines,1.0
thank you so much professor. your ways of teaching and your materials are very useful.. god bless you,1.0
"comprehensive lecture, many thanks",1.0
thank you so much for knowledge sharing session. it is really useful for basic researchers,1.0
"thank you very much, i am happy by watching your nice explanation about each point. i am studying mba in jinka university and i&#39;m conduct research with variable. but i confused in analysis stage. in my conceptual frame work, there is fourth variable infront of independent variable and this variable affects dependent variable through iv and moderator. how to check these and which leads to &quot;post hoc test&quot; what does it mean?",1.0
thank you sir. your lecture is very useful for my research,1.0
well explained sir!,1.0
thanks for this wonderful video. it&#39;s very informative dear lecturer.,1.0
thank you for the wonderful presentation.,1.0
"very imformative. thank you so much, sir.",1.0
thank you sir for your easy presentation. i picked up every word. i&#39;m really expecting to learn more from every  presentation,1.0
"manifesting it now, in 6 yrs ill have a dr in businessedit, thank you for this series, big love from chicago, usa",1.0
"thank you so much sir, i   clearly understand   about research methodology.  if possible please send lecture in pdf",1.0
thank you sir. am really looking forward to getting an a in this course unit,1.0
"sir , is this research methodology is also applicable for social sciences research?",1.0
which book or books would you recommend on quantitative research methods?,1.0
&quot;there is no one best way for undertaking all research&quot;,1.0
thank you sir well understandable ,1.0
thank you so much sir. the lecture is brief and on point.,1.0
thank you sir very nice and useful content,1.0
"thank you sir, it was beautifully explained.",1.0
excellent presentation dr,1.0
clear and simple explanation for understanding the basic of research,1.0
this lecture opened my mind. i am able to view research through a thin hole,1.0
"we are doing mba programme, thanks a lot from shire university in malawi.",1.0
thank god for this video. i love this,1.0
"thank you sir, god bless you",1.0
very educative thank you sir,1.0
"thank u so much, looking forward to watch more video lectures",1.0
"nice infermation ,about research  methodolgy  ,thanks dr qureshi sir",1.0
thank you very much sir. this was very helpful !,1.0
the best one i found so far!,1.0
very orderly. very well represented,1.0
"thank you, i have learnt something new.",1.0
sir very clear information on research. thank you sir,1.0
thank you sir for lecture i am interested &amp; i understand the research method &amp;research methodology difference thank you,1.0
"insightful, thanks!",1.0
thank u so much f giving such a great knowledge sir can we use in any entrance exam ?,1.0
thank you sir. good lecture,1.0
"thank you sir, i have a question about the difference between research papers and reports?",1.0
very interesting ...thanks a lot sir ,1.0
thank you very much sir. your vedio is very informative and clear.,1.0
"thanks so much, its very informative. where i can find episode 2. couldnt find.",1.0
"your research methodology discusses and explains the data collection and analysis methods you used in your research. a key part of your thesis, dissertation, or research paper, the methodology chapter explains what you did and how you did it, allowing readers to evaluate the reliability and validity of your research. need help with your assignments? email me",1.0
thank you. ive learnt a lot.,1.0
thank you. it is very valuable,1.0
"thank you sir, your lecture is very helpful.",1.0
thank you very much for your explanation,1.0
sir which type of data is present in journals?,1.0
do you want to learn technology from me? check https://codebasics.io/ for my affordable video courses.,1.0
sir i am humbled by your attitude. your comprehensive pandas playlist greatly helped me brush up after my machine learning course here in chennai. keep doing the amazing work and wish you all the best ,1.0
"thank you for bringing up this amazing video series, i am so happy i found this, it has completely changed my understanding in machine learning domain and you are such a great teacher. bless you!",1.0
"dear sir  dhaval patel ... thanks for this series on deep learning,  your effort and time for creating good videos are highly appreciated. please can you help me to get a simplistic and practical  course to explain how deep learning is using sequential data such as a multivariate time series for prediction purposes ... thanks a lot, and have a nice day ...",1.0
the amount of love and respect for you sir is so huge. we are so blessed and lucky. thank you so much sir.,1.0
thank you one again dhaval to making a video series on deep learning.its really helpful to us  for making good understanding of deep learning concept.i am happy to see you again.thanks for your dedication and efforts for us because you giving your personal time to a contibute in data science and ai field.,1.0
"thank u so so so much sir.. i am waiting for this series..actually, i have seen all of your tutorial from python to machine learning and projects also.your channel is the best for motivating my self... again thanks a lot sir.. i am so much thankful to you sir..",1.0
hi sir... i m new to your channel. and i really want to thank you so much because i have learnt so much from your channel in just 5 days from numpy to pandas and now machine learning. i just want to say you are so humble,1.0
"time to take tensorflow 2.0 outta my bucketlist... and this playlist looks like the right material to have the task finished before one week!thanks for the material, let&#39;s get started!",1.0
this has helped me so much thank you i would recommend this series to any dl beginner it&#39;s easy to understand and very helpful and well explained.,1.0
hats of to you sir and for your efforts to taught the difficult subjects in simple ways.,1.0
exercises really help sir...they reinforces the concepts being taught in the video....kindly do add exercises sir.thank you sir for your efforts...great respect sir,1.0
you are an amazing person who is teaching lot of new things with proper concept and knowledge,1.0
"sir am watching all video in your channel, and this series only missing. am extremely waiting deep learning series. thank you so much sir......    :)",1.0
"sir, sir , sir, sir .....i am extremely excited for this series ..from last few month i was waiting for this particular series of yours...thank you so so much , thanks a lot ...",1.0
"you are the best, the best  !thank you so much sir; and please don&#39;t abandon your funs, we are always here waiting for your new tutos",1.0
